2025-11-12 22:12:33 INFO    : Configuration loaded from config.yaml
2025-11-12 22:14:04 INFO    : Moved: /Users/coelhotv/Dropbox/_reports/platform revolution - book bonus/Whitepapers/Why-Business-Models-Fail.pdf -> /Users/coelhotv/Library/Mobile Documents/com~apple~CloudDocs/OrganizedFiles/Llms/Why-Business-Models-Fail.pdf
2025-11-12 22:14:04 INFO    : Success: Why-Business-Models-Fail.pdf -> Llms (25.29s)
2025-11-12 22:14:04 INFO    : Processing: Reverse-network-effects_-Why-scale-may-be-the-biggest-threat.pdf
2025-11-12 22:14:14 INFO    : Moved: /Users/coelhotv/Dropbox/_reports/platform revolution - book bonus/Whitepapers/Uber-Etsy-and-the-internet-of-everybody.pdf -> /Users/coelhotv/Library/Mobile Documents/com~apple~CloudDocs/OrganizedFiles/Llms/Uber-Etsy-and-the-internet-of-everybody.pdf
2025-11-12 22:14:14 INFO    : Success: Uber-Etsy-and-the-internet-of-everybody.pdf -> Llms (25.56s)
2025-11-12 22:14:14 INFO    : Processing: THE-NETWORK-EFFECT-ISN’T-GOOD-ENOUGH.pdf
2025-11-12 22:14:26 INFO    : Moved: /Users/coelhotv/Dropbox/_reports/platform revolution - book bonus/Whitepapers/The-Platform-Stack_-For-everyone-building-a-platform…-and-for-everyone-else.pdf -> /Users/coelhotv/Library/Mobile Documents/com~apple~CloudDocs/OrganizedFiles/Llms/The-Platform-Stack_-For-everyone-building-a-platform…-and-for-everyone-else.pdf
2025-11-12 22:14:26 INFO    : Success: The-Platform-Stack_-For-everyone-building-a-platform…-and-for-everyone-else.pdf -> Llms (29.95s)
2025-11-12 22:14:26 INFO    : Processing: Marketplace-Metrics.pdf
2025-11-12 22:14:35 INFO    : Moved: /Users/coelhotv/Dropbox/_reports/platform revolution - book bonus/Whitepapers/Reverse-network-effects_-Why-scale-may-be-the-biggest-threat.pdf -> /Users/coelhotv/Library/Mobile Documents/com~apple~CloudDocs/OrganizedFiles/Llms/Reverse-network-effects_-Why-scale-may-be-the-biggest-threat.pdf
2025-11-12 22:14:35 INFO    : Success: Reverse-network-effects_-Why-scale-may-be-the-biggest-threat.pdf -> Llms (30.75s)
2025-11-12 22:14:35 INFO    : Processing: What-the-Uber-Lyft-war-teaches-us-about-building-.pdf
2025-11-12 22:14:42 INFO    : Moved: /Users/coelhotv/Dropbox/_reports/platform revolution - book bonus/Whitepapers/THE-NETWORK-EFFECT-ISN’T-GOOD-ENOUGH.pdf -> /Users/coelhotv/Library/Mobile Documents/com~apple~CloudDocs/OrganizedFiles/Llms/THE-NETWORK-EFFECT-ISN’T-GOOD-ENOUGH.pdf
2025-11-12 22:14:42 INFO    : Success: THE-NETWORK-EFFECT-ISN’T-GOOD-ENOUGH.pdf -> Llms (28.08s)
2025-11-12 22:14:42 INFO    : Processing: Reverse-Network-Effects_-The-Challenges-of-Scaling-an-Online-Platform.pdf
2025-11-12 22:14:48 INFO    : Moved: /Users/coelhotv/Dropbox/_reports/platform revolution - book bonus/Whitepapers/Marketplace-Metrics.pdf -> /Users/coelhotv/Library/Mobile Documents/com~apple~CloudDocs/OrganizedFiles/Llms/Marketplace-Metrics.pdf
2025-11-12 22:14:48 INFO    : Success: Marketplace-Metrics.pdf -> Llms (21.81s)
2025-11-12 22:14:48 INFO    : Processing: The-Lepore-Christensen-Debate.pdf
2025-11-12 22:14:55 INFO    : Moved: /Users/coelhotv/Dropbox/_reports/platform revolution - book bonus/Whitepapers/What-the-Uber-Lyft-war-teaches-us-about-building-.pdf -> /Users/coelhotv/Library/Mobile Documents/com~apple~CloudDocs/OrganizedFiles/Llms/What-the-Uber-Lyft-war-teaches-us-about-building-.pdf
2025-11-12 22:14:55 INFO    : Success: What-the-Uber-Lyft-war-teaches-us-about-building-.pdf -> Llms (19.67s)
2025-11-12 22:14:55 INFO    : Processing: The-secret-to-scaling-social-networks.pdf
2025-11-12 22:15:04 INFO    : Moved: /Users/coelhotv/Dropbox/_reports/platform revolution - book bonus/Whitepapers/Reverse-Network-Effects_-The-Challenges-of-Scaling-an-Online-Platform.pdf -> /Users/coelhotv/Library/Mobile Documents/com~apple~CloudDocs/OrganizedFiles/Llms/Reverse-Network-Effects_-The-Challenges-of-Scaling-an-Online-Platform.pdf
2025-11-12 22:15:04 INFO    : Success: Reverse-Network-Effects_-The-Challenges-of-Scaling-an-Online-Platform.pdf -> Llms (21.91s)
2025-11-12 22:15:04 INFO    : Processing: How-small-ideas-like-Twitter-WhatsApp-and-Airbnb-create-large-value-through-network.pdf
2025-11-12 22:15:14 INFO    : Moved: /Users/coelhotv/Dropbox/_reports/platform revolution - book bonus/Whitepapers/The-Lepore-Christensen-Debate.pdf -> /Users/coelhotv/Library/Mobile Documents/com~apple~CloudDocs/OrganizedFiles/ProductDesign/The-Lepore-Christensen-Debate.pdf
2025-11-12 22:15:14 INFO    : Success: The-Lepore-Christensen-Debate.pdf -> ProductDesign (25.74s)
2025-11-12 22:15:22 INFO    : Moved: /Users/coelhotv/Dropbox/_reports/platform revolution - book bonus/Whitepapers/The-secret-to-scaling-social-networks.pdf -> /Users/coelhotv/Library/Mobile Documents/com~apple~CloudDocs/OrganizedFiles/Llms/The-secret-to-scaling-social-networks.pdf
2025-11-12 22:15:22 INFO    : Success: The-secret-to-scaling-social-networks.pdf -> Llms (27.12s)
2025-11-12 22:15:31 INFO    : Moved: /Users/coelhotv/Dropbox/_reports/platform revolution - book bonus/Whitepapers/How-small-ideas-like-Twitter-WhatsApp-and-Airbnb-create-large-value-through-network.pdf -> /Users/coelhotv/Library/Mobile Documents/com~apple~CloudDocs/OrganizedFiles/Llms/How-small-ideas-like-Twitter-WhatsApp-and-Airbnb-create-large-value-through-network.pdf
2025-11-12 22:15:31 INFO    : Success: How-small-ideas-like-Twitter-WhatsApp-and-Airbnb-create-large-value-through-network.pdf -> Llms (27.20s)
2025-11-12 22:15:31 INFO    : Total files: 19, Successful: 19, Failed: 0
2025-11-12 22:15:31 INFO    : Total time: 171.77s, Avg per file: 9.04s
2025-11-12 22:15:31 INFO    : Post-run stats: {'total_processed': 26, 'by_category': [<sqlite3.Row object at 0x108b922d0>, <sqlite3.Row object at 0x108b92350>, <sqlite3.Row object at 0x108b92f30>, <sqlite3.Row object at 0x108b92b70>], 'cache_hit_rate': 0.0, 'avg_processing_time': 49.82517874240875}
